category;dataset;variable;period;scenario;sub_period;start_year;end_year;attribute;focal;variable_long;unit;path;valid
bioclim;chclim25;ai;future;rcp26;2020_2049;2020;2049;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2020_2049/rcp26/ai/bioclim_chclim25_future_2020_2049_rcp26_ai.tif;yes
bioclim;chclim25;ai;present;NA;1981_2010;1981;2010;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/present/1981_2010/ai/bioclim_chclim25_present_1981_2010_ai.tif;yes
bioclim;chclim25;ai;future;rcp45;2020_2049;2020;2049;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2020_2049/rcp45/ai/bioclim_chclim25_future_2020_2049_rcp45_ai.tif;yes
bioclim;chclim25;ai;future;rcp85;2020_2049;2020;2049;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2020_2049/rcp85/ai/bioclim_chclim25_future_2020_2049_rcp85_ai.tif;yes
bioclim;chclim25;ai;future;rcp26;2045_2070;2045;2070;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2045_2070/rcp26/ai/bioclim_chclim25_future_2045_2070_rcp26_ai.tif;yes
bioclim;chclim25;ai;future;rcp45;2070_2099;2070;2099;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2070_2099/rcp45/ai/bioclim_chclim25_future_2070_2099_rcp45_ai.tif;yes
bioclim;chclim25;ai;future;rcp85;2045_2070;2045;2070;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2045_2070/rcp85/ai/bioclim_chclim25_future_2045_2070_rcp85_ai.tif;yes
bioclim;chclim25;ai;future;rcp26;2070_2099;2070;2099;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2070_2099/rcp26/ai/bioclim_chclim25_future_2070_2099_rcp26_ai.tif;yes
bioclim;chclim25;ai;future;rcp85;2070_2099;2070;2099;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2070_2099/rcp85/ai/bioclim_chclim25_future_2070_2099_rcp85_ai.tif;yes
bioclim;chclim25;ai;future;rcp45;2045_2070;2045;2070;NA;NA;aridity index;index (dry to wet);./bioclim/chclim25/future/2045_2070/rcp45/ai/bioclim_chclim25_future_2045_2070_rcp45_ai.tif;yes
bioclim;chclim25;bio1;future;rcp26;2070_2099;2070;2099;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp26/bio1/bioclim_chclim25_future_2070_2099_rcp26_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp26;2045_2070;2045;2070;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp26/bio1/bioclim_chclim25_future_2045_2070_rcp26_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp45;2020_2049;2020;2049;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp45/bio1/bioclim_chclim25_future_2020_2049_rcp45_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp85;2020_2049;2020;2049;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp85/bio1/bioclim_chclim25_future_2020_2049_rcp85_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp26;2020_2049;2020;2049;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2020_2049/rcp26/bio1/bioclim_chclim25_future_2020_2049_rcp26_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp85;2070_2099;2070;2099;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp85/bio1/bioclim_chclim25_future_2070_2099_rcp85_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp85;2045_2070;2045;2070;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp85/bio1/bioclim_chclim25_future_2045_2070_rcp85_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp45;2045_2070;2045;2070;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2045_2070/rcp45/bio1/bioclim_chclim25_future_2045_2070_rcp45_bio1.tif;yes
bioclim;chclim25;bio1;present;NA;1981_2010;1981;2010;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/present/1981_2010/bio1/bioclim_chclim25_present_1981_2010_bio1.tif;yes
bioclim;chclim25;bio1;future;rcp45;2070_2099;2070;2099;NA;NA;annual mean temperature;degree Celsius;./bioclim/chclim25/future/2070_2099/rcp45/bio1/bioclim_chclim25_future_2070_2099_rcp45_bio1.tif;yes
